AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2022,3,15,BOYACA,15469,MONIQUIRA,1616,23841,"0,0678"
2021,3,25,CUNDINAMARCA,25793,TAUSA,220,8823,"0,0249"
2022,2,54,NORTE DE SANTANDER,54174,CHITAGA,224,13054,"0,0172"
2021,4,19,CAUCA,19300,GUACHENE,22,19964,"0,0011"
2020,3,68,SANTANDER,68001,BUCARAMANGA,147943,600098,"0,2465"
2020,3,15,BOYACA,15776,SUTAMARCHAN,122,6304,"0,0194"
2020,4,05,ANTIOQUIA,05284,FRONTINO,1491,21243,"0,0702"
2021,3,76,VALLE DEL CAUCA,76892,YUMBO,17954,108433,"0,1656"
2022,1,25,CUNDINAMARCA,25736,SESQUILE,435,13060,"0,0333"
2021,1,20,CESAR,20750,SAN DIEGO,462,20880,"0,0221"
2021,3,19,CAUCA,19701,SANTA ROSA,50,5529,"0,009"
2021,1,05,ANTIOQUIA,05501,OLAYA,268,3236,"0,0828"
2021,4,25,CUNDINAMARCA,25126,CAJICA,27665,92325,"0,2996"
2021,1,15,BOYACA,15723,SATIVASUR,22,1119,"0,0197"
2022,3,52,NARI�O,52036,ANCUYA,15,8987,"0,0017"
2021,3,47,MAGDALENA,47692,SAN SEBASTIAN DE BUENAVISTA,601,21430,"0,028"
2022,2,52,NARI�O,52051,ARBOLEDA,88,8979,"0,0098"
2021,2,73,TOLIMA,73622,RONCESVALLES,212,5583,"0,038"
2020,4,05,ANTIOQUIA,05148,EL CARMEN DE VIBORAL,6856,61820,"0,1109"
2021,3,66,RISARALDA,66456,MISTRATO,490,17462,"0,0281"
2021,2,25,CUNDINAMARCA,25339,GUTIERREZ,18,3690,"0,0049"
2020,2,68,SANTANDER,68755,SOCORRO,3383,34103,"0,0992"
2020,4,73,TOLIMA,73678,SAN LUIS,54,13449,"0,004"
2020,3,25,CUNDINAMARCA,25524,PANDI,244,5304,"0,046"
2022,3,68,SANTANDER,68385,LANDAZURI,38,10555,"0,0036"
2021,3,25,CUNDINAMARCA,25823,TOPAIPI,20,4417,"0,0045"
2020,3,52,NARI�O,52565,PROVIDENCIA,14,5658,"0,0025"
2023,1,68,SANTANDER,68572,PUENTE NACIONAL,373,15450,"0,0241"
